Date,Open,High,Low,Close,Volume
"Sep 3, 2025","23.73","23.93","23.07","23.34","261,900"
"Sep 2, 2025","22.99","23.79","22.74","23.76","342,900"
"Aug 29, 2025","24.54","24.59","23.71","24.02","372,400"
"Aug 28, 2025","24.26","24.92","23.87","24.78","360,100"
"Aug 27, 2025","23.67","24.07","23.54","23.99","284,900"
"Aug 26, 2025","23.68","23.99","23.61","23.86","330,200"
"Aug 25, 2025","23.79","23.90","23.50","23.57","307,900"
"Aug 22, 2025","22.69","24.28","22.57","23.74","365,700"
"Aug 21, 2025","22.27","22.63","22.18","22.51","219,100"
"Aug 20, 2025","23.01","23.23","21.92","22.34","278,900"
"Aug 19, 2025","23.07","23.35","22.65","23.03","411,200"
"Aug 18, 2025","22.71","23.25","22.68","23.03","295,100"
"Aug 15, 2025","23.19","23.20","22.46","22.67","411,100"
"Aug 14, 2025","23.30","23.75","23.19","23.54","381,900"
"Aug 13, 2025","24.08","24.54","23.83","24.00","403,100"
"Aug 12, 2025","22.47","24.25","22.25","23.79","456,100"
"Aug 11, 2025","23.39","23.64","22.03","22.11","490,800"
"Aug 8, 2025","23.06","23.60","22.74","23.20","395,800"
"Aug 7, 2025","22.28","23.05","22.16","22.89","461,000"
"Aug 6, 2025","22.17","22.37","21.60","21.63","468,200"
"Aug 5, 2025","23.17","23.17","22.06","22.35","684,700"
"Aug 4, 2025","22.72","23.35","22.50","23.30","361,800"
"Aug 1, 2025","21.92","22.40","21.28","22.30","545,000"
"Jul 31, 2025","23.13","23.23","22.12","22.52","681,900"
"Jul 30, 2025","24.68","24.87","23.38","23.59","585,700"
"Jul 29, 2025","25.69","27.57","23.66","24.58","1,098,800"
"Jul 28, 2025","24.39","25.05","24.30","24.73","697,000"
"Jul 25, 2025","23.68","23.98","23.28","23.96","350,400"
"Jul 24, 2025","24.46","24.46","23.50","23.70","367,300"
"Jul 23, 2025","24.04","24.64","23.61","24.56","667,300"
"Jul 22, 2025","24.85","25.12","23.67","23.97","436,700"
"Jul 21, 2025","25.13","25.72","24.89","24.92","281,500"
"Jul 18, 2025","26.32","26.32","24.88","24.90","465,400"
"Jul 17, 2025","25.46","26.25","25.37","25.98","676,300"
"Jul 16, 2025","24.90","25.40","23.98","25.29","453,600"
"Jul 15, 2025","25.28","25.53","24.93","25.06","463,200"
"Jul 14, 2025","24.60","24.80","23.81","24.58","324,100"
"Jul 11, 2025","24.58","25.18","24.58","24.95","254,800"
"Jul 10, 2025","24.97","25.40","24.81","25.02","368,100"
"Jul 9, 2025","24.88","25.47","24.32","24.62","554,300"
"Jul 8, 2025","24.55","25.82","24.46","24.92","528,800"
"Jul 7, 2025","24.53","25.34","24.13","24.14","717,000"
"Jul 3, 2025","25.30","25.58","24.93","25.26","290,000"
"Jul 2, 2025","23.79","25.08","23.79","24.97","564,000"
"Jul 1, 2025","22.04","24.42","22.00","23.80","690,600"
"Jun 30, 2025","22.81","22.89","22.48","22.57","440,600"
"Jun 27, 2025","22.62","22.93","22.44","22.74","1,500,900"
"Jun 26, 2025","22.46","22.87","22.05","22.62","389,200"
"Jun 25, 2025","22.65","22.85","22.06","22.22","482,900"
"Jun 24, 2025","20.35","22.51","20.30","22.47","733,200"
"Jun 23, 2025","19.95","20.11","19.51","19.93","330,300"
"Jun 20, 2025","20.66","20.66","19.63","19.95","613,700"
"Jun 18, 2025","20.26","20.56","19.91","20.37","443,700"
"Jun 17, 2025","20.42","20.80","20.23","20.26","461,200"
"Jun 16, 2025","20.08","20.85","20.06","20.59","672,800"
"Jun 13, 2025","20.54","20.93","19.81","19.87","528,700"
"Jun 12, 2025","21.18","21.62","21.03","21.25","557,600"
"Jun 11, 2025","21.93","22.20","21.20","21.57","745,800"
"Jun 10, 2025","21.71","21.94","21.40","21.65","1,120,800"
"Jun 9, 2025","21.17","21.82","20.89","21.34","766,700"
"Jun 6, 2025","20.84","21.19","20.50","20.72","590,200"
"Jun 5, 2025","21.11","21.37","20.30","20.43","504,700"
"Jun 4, 2025","20.67","21.23","20.49","21.04","269,400"
"Jun 3, 2025","19.64","20.64","19.40","20.59","453,800"
"Jun 2, 2025","19.17","19.65","19.17","19.56","330,100"
"May 30, 2025","19.94","19.94","18.93","19.37","529,700"
"May 29, 2025","20.87","20.98","20.08","20.19","357,900"
"May 28, 2025","20.72","20.92","20.18","20.27","369,800"
"May 27, 2025","20.42","20.94","20.03","20.68","356,800"
"May 23, 2025","19.42","19.98","19.34","19.93","277,500"
"May 22, 2025","20.25","20.69","20.01","20.27","334,700"
"May 21, 2025","21.04","21.27","20.14","20.31","404,600"
"May 20, 2025","21.32","21.52","21.06","21.50","257,000"
"May 19, 2025","21.35","21.59","21.15","21.44","369,600"
"May 16, 2025","22.35","22.35","21.65","22.05","396,300"
"May 15, 2025","22.57","22.63","22.05","22.52","345,900"
"May 14, 2025","22.89","23.22","22.56","22.81","564,100"
"May 13, 2025","22.24","23.04","22.06","22.66","815,600"
"May 12, 2025","21.77","22.42","21.14","22.24","620,700"
"May 9, 2025","20.19","20.60","19.55","20.03","440,600"
"May 8, 2025","19.58","20.60","19.38","20.14","899,400"
"May 7, 2025","19.23","19.39","18.52","19.36","669,100"
"May 6, 2025","18.93","19.55","18.93","19.23","511,200"
"May 5, 2025","19.93","20.07","19.49","19.50","505,400"
"May 2, 2025","19.09","20.24","19.02","20.17","958,700"
"May 1, 2025","19.19","19.31","18.63","18.65","791,700"
